date,equity
2026-01-09,10000.0
2026-01-12,10000.0
2026-01-13,10000.0
2026-01-14,10000.0
2026-01-15,10000.0
2026-01-16,10000.0
2026-01-19,9985.752373813093
2026-01-20,9731.339312135713
2026-01-21,10061.913544630894
2026-01-22,10148.12633087583
2026-01-23,11007.15728298257
2026-01-26,10709.462604427294
2026-01-27,10408.34483546755
2026-01-28,10204.408482447672
2026-01-29,9469.160309441952
2026-01-30,9309.178195480734
2026-02-02,9075.572619461022
2026-02-03,9142.062297620394
2026-02-04,9272.697351470684
2026-02-05,9940.560428606346
2026-02-06,10307.712689448774
2026-02-09,10114.066201338761
2026-02-10,9809.68469199602
2026-02-11,10004.534973324136
2026-02-12,9557.117049360357
2026-02-13,10230.047369048045
2026-02-16,10696.88362186602
2026-02-17,10536.601964442742
2026-02-18,9922.287024932122
2026-02-19,10440.103818529677
2026-02-20,10416.724745643976
2026-02-23,10915.609162780482
2026-02-24,10322.368405283363
2026-02-25,10120.20639698038
2026-02-26,10141.407936054822
2026-02-27,10178.008384015866
2026-03-02,10032.80215331845
2026-03-03,10280.907400690934
2026-03-04,9910.484972606959
2026-03-05,9878.413582944839
2026-03-06,9940.306894917374
2026-03-09,10146.147550802667
2026-03-10,10430.67223475195
2026-03-11,10033.8821764907
2026-03-12,9511.467680574457
2026-03-13,9979.216247283042
2026-03-16,10119.036696497678
2026-03-17,9867.770913330774
2026-03-18,10457.030688573097
2026-03-19,10520.977263606585
2026-03-20,11001.701283423476
2026-03-23,11049.802022501373
2026-03-24,11932.783822774018
2026-03-25,12746.536031464184
2026-03-26,12655.438433337562
2026-03-27,13138.228216180707
2026-03-30,13478.188853271966
2026-03-31,14198.915257937706
2026-04-01,13731.827438126935
2026-04-02,14108.776633137006
2026-04-03,14674.751016377058
