date,close,open,high,low,volume,dividends,stock splits
2024-08-13,42864.533372738566,42864.533372738566,43995.34658388462,42509.47162607691,625458578.0000271,0.0,0.0
2024-08-14,42703.91971617634,42864.533372738566,43625.33073280965,42298.48967320767,279445180.43254614,0.0,0.0
2024-08-15,43833.697771818326,42703.91971617634,45174.504076315876,42573.93559031137,165346644.44292262,0.0,0.0
2024-08-16,46515.14747251076,43833.697771818326,46703.11995202513,42837.087730275314,589207694.8329878,0.0,0.0
2024-08-19,46172.30610532848,46515.14747251076,47015.796230202366,45100.527847497484,1687476000.554836,0.0,0.0
2024-08-20,45832.02025475973,46172.30610532848,47212.815450661634,44597.389726433954,483694730.8122004,0.0,0.0
2024-08-21,48739.65969038243,45832.02025475973,48793.83000611983,45410.740099647206,737845777.5563204,0.0,0.0
2024-08-22,50257.28872820976,48739.65969038243,51485.03575372517,48456.21305899178,505427255.1149046,0.0,0.0
2024-08-23,49442.75615526419,50257.28872820976,51297.6910901057,49230.74656316158,461759695.1713829,0.0,0.0
2024-08-26,50548.478228421474,49442.75615526419,51840.02908067777,49194.70917258718,768182767.6372808,0.0,0.0
2024-08-27,49740.67298808398,50548.478228421474,50590.5960031462,49249.32645835605,419621103.6494043,0.0,0.0
2024-08-28,48941.477019342325,49740.67298808398,50027.22809660965,47465.74133076916,554565874.2325547,0.0,0.0
2024-08-29,49467.693705285186,48941.477019342325,49491.953712052535,48811.57613932178,569830156.3632197,0.0,0.0
2024-08-30,46067.8428615002,49467.693705285186,51001.76759365795,45516.20538122771,347388661.5378974,0.0,0.0
2024-09-02,43209.841299015156,46067.8428615002,46129.42638114149,42315.83882486734,796725829.76546,0.0,0.0
2024-09-03,42359.86573210235,43209.841299015156,44055.330100458465,41895.43425682985,444526452.419358,0.0,0.0
2024-09-04,40821.698599944306,42359.86573210235,42785.37432089607,40801.41411041157,332492353.31723225,0.0,0.0
2024-09-05,41374.10355458742,40821.698599944306,41601.618661541535,39722.845096574056,634441042.8841743,0.0,0.0
2024-09-06,40030.84381062391,41374.10355458742,41957.40380871299,39720.03755462894,309592046.30003524,0.0,0.0
2024-09-09,37996.06917404714,40030.84381062391,40339.40170523419,37868.523236685294,492049844.2048382,0.0,0.0
2024-09-10,40232.59004430149,37996.06917404714,40871.81359523458,37986.70909161886,482958120.9151803,0.0,0.0
2024-09-11,39948.76928633151,40232.59004430149,40270.41618067557,39236.64655579542,835004592.5966804,0.0,0.0
2024-09-12,40111.534533037244,39948.76928633151,40686.217895628506,38434.55167908088,615133033.1479437,0.0,0.0
2024-09-13,38054.65843396307,40111.534533037244,40704.61929825278,37751.62798656197,479131918.11782163,0.0,0.0
2024-09-16,37331.48089672408,38054.65843396307,38342.37820370598,37057.408408747,730239521.256429,0.0,0.0
2024-09-17,37545.44331202498,37331.48089672408,37844.07467229556,36746.77981919292,972230791.9409062,0.0,0.0
2024-09-18,35992.632510474374,37545.44331202498,37991.97474168524,35624.486463502275,641234096.3806976,0.0,0.0
2024-09-19,36564.9740753997,35992.632510474374,36623.67751045499,34995.6146385301,487683071.8568315,0.0,0.0
2024-09-20,35793.5074031442,36564.9740753997,37132.77820561502,35479.994835778656,251783936.74263972,0.0,0.0
2024-09-23,35452.08820954388,35793.5074031442,36090.76316078955,35261.02338611027,284841421.7493997,0.0,0.0
2024-09-24,34702.69347674009,35452.08820954388,36089.097300228714,34395.233773639025,416496096.6850387,0.0,0.0
2024-09-25,37289.20508147379,34702.69347674009,38388.15065762446,34125.56846903709,357713841.3588032,0.0,0.0
2024-09-26,37326.031632261656,37289.20508147379,37345.7753591071,36830.27815666834,441864728.2454899,0.0,0.0
